"INTERPOLATED_REV01#1_x","INTERPOLATED_REV01#1_y"
0,69.2,
0.22,69.1,
0.441,69,
0.661,69,
0.881,68.9,
1.1,68.9,
1.32,68.9,
1.54,68.9,
1.76,68.9,
1.98,68.9,
2.2,68.8,
2.42,68.8,
2.64,68.8,
2.86,68.8,
3.08,68.8,
3.3,68.7,
3.53,68.7,
3.75,68.7,
3.97,68.7,
4.19,68.7,
4.41,68.6,
4.63,68.6,
4.85,68.6,
5.07,68.6,
5.29,68.6,
5.51,68.5,
5.73,68.5,
5.95,68.5,
6.17,68.5,
6.39,68.5,
6.61,68.4,
6.83,68.2,
7.05,68.1,
7.27,67.9,
7.49,67.8,
7.71,67.6,
7.93,67.5,
8.15,67.4,
8.37,67.2,
8.59,67.1,
8.81,66.9,
9.03,66.8,
9.25,66.6,
9.47,66.5,
9.69,66.3,
9.91,66.2,
10.1,66,
10.4,65.9,
10.6,65.7,
10.8,65.5,
11,65.4,
11.2,65.2,
11.5,65.1,
11.7,64.9,
11.9,64.8,
12.1,64.5,
12.3,64.4,
12.6,64.2,
