field_1,field_2,field_3,field_4,field_5
"10",4931563.46,1412639.16,69.89,sh
"11",4931563.44,1412639.18,69.89,sh
"12",4931566.37,1412633.71,72.59,sh
"13",4931561.72,1412637.51,73.08,top-cut
"14",4931559.46,1412634.04,75.7,TB
"20",4931571.83,1412638.08,69.29,sh
"109",4931568.83,1412641.3,69.52,TB
"117",4931570.18,1412634.96,69.4,BB
"146",4931565.93,1412640.21,69.78,CL
"154",4931562.54,1412631.07,75.54,TB-nr. prop. line
"155",4931565.9,1412631.84,73.74,SH
"156",4931561.07,1412635.59,74.18,SH
"221",4931564.23,1412629.18,75.19,TBA
"255",4931572.24,1412642.93,67.46,SH-CLOSE BB
"256",4931572.12,1412642.83,67.46,SH-CLOSE BB
"257",4931573.48,1412645.14,65.74,SH-CLOSE BB
